rs,numenz,numacs,Nac,Nsingle,Neq,Nneq,Kac,Ksingle,Keq,Kneq
204,0,64,64,64,0,0,64,64,0,0
76,1,39,39,39,0,0,39,39,0,0
236,1,29,29,29,0,0,29,29,0,0
108,2,29,29,16,13,0,64,16,48,0
77,2,20,20,20,0,0,20,20,0,0
232,2,20,20,20,0,0,20,20,0,0
132,2,19,19,19,0,0,19,19,0,0
140,1,19,19,19,0,0,19,19,0,0
156,2,19,19,4,15,0,64,4,60,0
4,3,18,18,18,0,0,18,18,0,0
12,2,18,18,18,0,0,18,18,0,0
164,3,11,11,11,0,0,11,11,0,0
172,2,11,11,11,0,0,11,11,0,0
36,4,10,10,10,0,0,10,10,0,0
44,3,10,10,10,0,0,10,10,0,0
72,2,10,10,10,0,0,10,10,0,0
73,3,10,10,3,7,0,39,3,36,0
104,3,7,7,7,0,0,7,7,0,0
92,2,6,6,6,0,0,6,6,0,0
94,3,6,6,6,0,0,6,6,0,0
150,4,6,6,4,2,0,64,4,60,0
134,3,6,6,4,0,2,64,4,0,60
142,2,6,6,4,0,2,64,4,0,60
28,3,6,6,3,3,0,15,3,12,0
5,4,5,5,5,0,0,5,5,0,0
13,3,5,5,5,0,0,5,5,0,0
29,4,5,5,2,3,0,14,2,12,0
88,3,4,4,4,0,0,4,4,0,0
90,4,4,4,4,0,0,4,4,0,0
6,4,3,3,3,0,0,3,3,0,0
14,3,3,3,3,0,0,3,3,0,0
22,5,3,3,3,0,0,3,3,0,0
30,4,3,3,3,0,0,3,3,0,0
37,5,3,3,3,0,0,3,3,0,0
45,4,3,3,3,0,0,3,3,0,0
105,4,3,3,0,3,0,64,0,64,0
7,5,2,2,2,0,0,2,2,0,0
15,4,2,2,2,0,0,2,2,0,0
23,6,2,2,2,0,0,2,2,0,0
160,4,2,2,2,0,0,2,2,0,0
162,5,2,2,2,0,0,2,2,0,0
166,4,2,2,2,0,0,2,2,0,0
168,3,2,2,2,0,0,2,2,0,0
170,4,2,2,2,0,0,2,2,0,0
174,3,2,2,2,0,0,2,2,0,0
178,6,2,2,2,0,0,2,2,0,0
182,5,2,2,2,0,0,2,2,0,0
184,4,2,2,2,0,0,2,2,0,0
188,3,2,2,2,0,0,2,2,0,0
190,4,2,2,2,0,0,2,2,0,0
252,2,2,2,2,0,0,2,2,0,0
254,3,2,2,2,0,0,2,2,0,0
54,6,2,2,1,1,0,64,1,63,0
60,4,2,2,1,1,0,64,1,63,0
124,3,2,2,1,1,0,19,1,18,0
126,4,2,2,1,1,0,19,1,18,0
38,5,2,2,1,0,1,64,1,0,63
46,4,2,2,1,0,1,64,1,0,63
62,5,2,2,1,0,1,64,1,0,63
0,4,1,1,1,0,0,1,1,0,0
2,5,1,1,1,0,0,1,1,0,0
8,3,1,1,1,0,0,1,1,0,0
10,4,1,1,1,0,0,1,1,0,0
18,6,1,1,1,0,0,1,1,0,0
24,4,1,1,1,0,0,1,1,0,0
26,5,1,1,1,0,0,1,1,0,0
32,5,1,1,1,0,0,1,1,0,0
34,6,1,1,1,0,0,1,1,0,0
40,4,1,1,1,0,0,1,1,0,0
42,5,1,1,1,0,0,1,1,0,0
50,7,1,1,1,0,0,1,1,0,0
56,5,1,1,1,0,0,1,1,0,0
58,6,1,1,1,0,0,1,1,0,0
120,4,1,1,1,0,0,1,1,0,0
122,5,1,1,1,0,0,1,1,0,0
1,5,1,1,0,1,0,18,0,18,0
9,4,1,1,0,1,0,18,0,18,0
51,8,1,1,0,1,0,64,0,64,0
57,6,1,1,0,1,0,64,0,64,0
3,6,1,1,0,0,1,63,0,0,63
11,5,1,1,0,0,1,63,0,0,63
19,7,1,1,0,0,1,63,0,0,63
25,5,1,1,0,0,1,63,0,0,63
27,6,1,1,0,0,1,63,0,0,63
33,6,1,1,0,0,1,64,0,0,64
35,7,1,1,0,0,1,64,0,0,64
41,5,1,1,0,0,1,64,0,0,64
43,6,1,1,0,0,1,64,0,0,64
