code,N,numstates,phi,Nac,Nsingle,Neq,Nneq,Neqcyc,Nneqcyc,Mac,Msingle,Meq,Mneq,Meqcyc,Mneqcyc,Kac,Ksingle,Keq,Kneq,Keqcyc,Kneqcyc,eqp_code,symclass
204,3,8,1.0,8,8,0,0,0,0,1,1,0,0,0,0,8,8,0,0,0,0,204,all
204,4,16,1.0,16,16,0,0,0,0,1,1,0,0,0,0,16,16,0,0,0,0,204,all
204,5,32,1.0,32,32,0,0,0,0,1,1,0,0,0,0,32,32,0,0,0,0,204,all
204,6,64,1.0,64,64,0,0,0,0,1,1,0,0,0,0,64,64,0,0,0,0,204,all
204,7,128,1.0,128,128,0,0,0,0,1,1,0,0,0,0,128,128,0,0,0,0,204,all
204,8,256,1.0,256,256,0,0,0,0,1,1,0,0,0,0,256,256,0,0,0,0,204,all
204,9,512,1.0,512,512,0,0,0,0,1,1,0,0,0,0,512,512,0,0,0,0,204,all
204,10,1024,1.0,1024,1024,0,0,0,0,1,1,0,0,0,0,1024,1024,0,0,0,0,204,all
204,11,2048,1.0,2048,2048,0,0,0,0,1,1,0,0,0,0,2048,2048,0,0,0,0,204,all
204,12,4096,1.0,4096,4096,0,0,0,0,1,1,0,0,0,0,4096,4096,0,0,0,0,204,all
204,13,8192,1.0,8192,8192,0,0,0,0,1,1,0,0,0,0,8192,8192,0,0,0,0,204,all
204,14,16384,1.0,16384,16384,0,0,0,0,1,1,0,0,0,0,16384,16384,0,0,0,0,204,all
204,15,32768,1.0,32768,32768,0,0,0,0,1,1,0,0,0,0,32768,32768,0,0,0,0,204,all
77,3,8,0.75,6,6,0,0,0,0,1,1,0,0,0,0,6,6,0,0,0,0,105,all
77,4,16,0.375,6,6,0,0,0,0,1,1,0,0,0,0,6,6,0,0,0,0,105,all
77,5,32,0.3125,10,10,0,0,0,0,1,1,0,0,0,0,10,10,0,0,0,0,105,all
77,6,64,0.3125,20,20,0,0,0,0,1,1,0,0,0,0,20,20,0,0,0,0,105,all
77,7,128,0.21875,28,28,0,0,0,0,1,1,0,0,0,0,28,28,0,0,0,0,105,all
77,8,256,0.1796875,46,46,0,0,0,0,1,1,0,0,0,0,46,46,0,0,0,0,105,all
77,9,512,0.15234375,78,78,0,0,0,0,1,1,0,0,0,0,78,78,0,0,0,0,105,all
77,10,1024,0.119140625,122,122,0,0,0,0,1,1,0,0,0,0,122,122,0,0,0,0,105,all
77,11,2048,0.0966796875,198,198,0,0,0,0,1,1,0,0,0,0,198,198,0,0,0,0,105,all
77,12,4096,0.0791015625,324,324,0,0,0,0,1,1,0,0,0,0,324,324,0,0,0,0,105,all
77,13,8192,0.0634765625,520,520,0,0,0,0,1,1,0,0,0,0,520,520,0,0,0,0,105,all
77,14,16384,0.0513916015625,842,842,0,0,0,0,1,1,0,0,0,0,842,842,0,0,0,0,105,all
77,15,32768,0.04168701171875,1366,1366,0,0,0,0,1,1,0,0,0,0,1366,1366,0,0,0,0,105,all
232,3,8,0.25,2,2,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,105,all
232,4,16,0.375,6,6,0,0,0,0,1,1,0,0,0,0,6,6,0,0,0,0,105,all
232,5,32,0.375,12,12,0,0,0,0,1,1,0,0,0,0,12,12,0,0,0,0,105,all
232,6,64,0.3125,20,20,0,0,0,0,1,1,0,0,0,0,20,20,0,0,0,0,105,all
232,7,128,0.234375,30,30,0,0,0,0,1,1,0,0,0,0,30,30,0,0,0,0,105,all
232,8,256,0.1796875,46,46,0,0,0,0,1,1,0,0,0,0,46,46,0,0,0,0,105,all
