Rules;Equivalent Class;Subclass
0,255;1;1
1,127;2;LP
2,16,191,247;2;LP
3,17,63,119;2;LP
4,223;2;LP
5,95;2;LP
6,20,159,215;2;LP
7,21,31,87;2;LP
8,64,239,253;1;1
9,65,111,125;2;LP
10,80,175,245;2;LP
11,47,81,117;2;LP
12,68,207,221;2;LP
13,69,79,93;2;LP
14,84,143,213;2;LP
15,85;2;LP
18,183;3;C
19,55;2;LP
22,151;3;C
23;2;LP
24,66,189,231;2;LP
25,61,67,103;2;HP
26,82,167,181;2;LP
27,39,53,83;2;LP
28,70,157,199;2;LP
29,71;2;LP
30,86,135,149;3;C
32,251;1;1
33,123;2;LP
34,48,187,243;2;LP
35,49,59,115;2;LP
36,213;2;LP
37,91;2;LP
38,52,155,211;2;LP
40,96,235,249;1;1
41,97,107,121;4;T
42,112,171,241;2;LP
43,113;2;LP
44,100,203,217;2;LP
45,75,89,101;3;C
46,116,139,209;2;LP
50,179;2;LP
51;2;LP
54,147;4;T
56,98,185,227;2;LP
57,99;2;LP
58,114,163,177;2;LP
60,102,153,195;3;U
62,118,131,145;2;HP
72,237;2;LP
73,109;2;T
74,88,173,229;2;LP
76,205;2;LP
77;2;LP
78,92,141,197;2;LP
90,165;3;U
94,133;2;LP
104,233;2;LP
105;3;U
106,120,169,225;4;C
108,201;2;LP
110,124,137,193;4;T
122,161;3;C
126,129;3;C
128,254;1;1
130,144,190,246;2;LP
132,222;2;LP
134,148,158,214;2;LP
136,192,238,252;1;1
138,174,208,224;2;LP
140,196,206,220;2;LP
142,212;2;LP
146,182;3;C
150;3;U
152,188,194,230;2;LP
154,166,180,210;2;LP
156,198;2;LP
160,250;1;1
162,176,186,242;2;LP
164,218;2;LP
168,224,234,248;1;1
170,240;2;LP
172,202,216,228;2;LP
178;2;LP
184,226;2;LP
200,236;2;LP
204;2;LP
232;2;LP
